trigger_name,table_name,definition
trigger_update_table_on_commande_validate,commandes,CREATE TRIGGER trigger_update_table_on_commande_validate AFTER UPDATE ON public.commandes FOR EACH ROW WHEN ((new.statut IS DISTINCT FROM old.statut)) EXECUTE FUNCTION update_table_status_on_commande_validate()
RI_ConstraintTrigger_c_20171,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20171"" AFTER INSERT ON public.etablissements FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20172,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20172"" AFTER UPDATE ON public.etablissements FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20189,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20189"" AFTER DELETE ON public.etablissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20190,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20190"" AFTER UPDATE ON public.etablissements FROM profiles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20191,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20191"" AFTER INSERT ON public.profiles FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20192,profiles,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20192"" AFTER UPDATE ON public.profiles FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20195,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20195"" AFTER DELETE ON public.etablissements FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20196,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20196"" AFTER UPDATE ON public.etablissements FROM produits NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20197,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20197"" AFTER INSERT ON public.produits FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20198,produits,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20198"" AFTER UPDATE ON public.produits FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
